candidate_id,title,authors,year,journal,doi,url,source_database,abstract,keywords,is_open_access,pdf_url,matched_query,relevance_score,recommended_reason,status,full_text_status,added_time,last_updated,paper_type_primary,paper_type_secondary,research_topic,storage_folder,tags,is_review,is_experimental,is_fcgr,is_micro_ct,is_heat_treatment,is_surface_roughness,is_conflict_relevant,classification_reason,classification_confidence
CAND_0001,,Behzad Fotovvati; Navid Namdari; Amir Dehghanghadikolaei,2018,Materials Research Express,10.1088/2053-1591/aae10e,https://doi.org/10.1088/2053-1591/aae10e,OpenAlex,,review; SLM; Ti64; fatigue,False,,,0.55,,verified,,,,review,,综述; 文献综述; 已有共识,reviews,review,,,,,,,,Seed type: review; API match: True,high
CAND_0002,,,,,,,seed_list,,review; LPBF; fatigue,False,,,0.55,,unverified,,,,review,,综述; 文献综述; 已有共识,hip_heat_treatment,review,,,,,,,,Seed type: review; API match: False,medium
CAND_0003,,Fei Cao; Tiantian Zhang; Matthew A. Ryder; Diana A. Lados,2018,JOM,10.1007/s11837-017-2728-5,https://doi.org/10.1007/s11837-017-2728-5,OpenAlex,,review; AM Ti64; fatigue,False,,,0.80,,verified,,,,review,,综述; 文献综述; 已有共识,fcgr_paris_law,review,,,,,,,,Seed type: review; API match: True,high
CAND_0004,,Ma Qian; Wei Xu; Milan Brandt; Huiping Tang,2016,MRS Bulletin,10.1557/mrs.2016.215,https://doi.org/10.1557/mrs.2016.215,OpenAlex,,review; post-processing,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FC24314B70BF8B1B1B40D4F401B6EFF7/S0883769416002153a.pdf/div-class-title-additive-manufacturing-and-postprocessing-of-ti-6al-4v-for-superior-mechanical-properties-div.pdf,,0.65,,verified,,,,review,,综述; 文献综述; 已有共识,pore_fatigue_life,review,,,,,,,,Seed type: review; API match: True,high
CAND_0005,,Aref Yadollahi; Nima Shamsaei,2017,International Journal of Fatigue,10.1016/j.ijfatigue.2017.01.001,https://doi.org/10.1016/j.ijfatigue.2017.01.001,OpenAlex,,review; AI background,False,,,0.80,,verified,,,,review,,综述; 文献综述; 已有共识,reviews,review,,,,,,,,Seed type: review; API match: True,high
CAND_0006,,Min Yi; Wei Tang; Yiqi Zhu; Chenguang Liang; Ziming Tang,2024,Journal of Materials Processing Technology,10.1016/j.jmatprotec.2024.118425,https://doi.org/10.1016/j.jmatprotec.2024.118425,OpenAlex,,review; fatigue dataset,False,,,0.55,,verified,,,,review,,综述; 文献综述; 已有共识,reviews,review,,,,,,,,Seed type: review; API match: True,high
CAND_0007,,,,,,,seed_list,,review; microstructure,False,,,0.35,,unverified,,,,review,,综述; 文献综述; 已有共识,reviews,review,,,,,,,,Seed type: review; API match: False,medium
CAND_0008,,,,,,,seed_list,,review; process-microstructure-fatigue,False,,,0.55,,unverified,,,,review,,综述; 文献综述; 已有共识,fcgr_paris_law,review,,,,,,,,Seed type: review; API match: False,medium
CAND_0009,,Seunghyun Moon; Ruimin Ma; Ross Attardo; Charles Tomonto; Mark Nordin,2021,Scientific Reports,10.1038/s41598-021-99959-6,https://doi.org/10.1038/s41598-021-99959-6,OpenAlex,,pore_size; surface; Nf; ML,True,https://www.nature.com/articles/s41598-021-99959-6.pdf,,1.00,,verified,,,,pore_fatigue_life,ai_materials_fatigue,孔隙/缺陷-疲劳寿命关系,hip_heat_treatment,neural network,,,,,,,,Seed type: pore_fatigue_life; API match: True,high
CAND_0010,,Eric Wycisk; Andreas Solbach; Shafaqat Siddique; Dirk Herzog; Frank Walther,2014,Physics Procedia,10.1016/j.phpro.2014.08.120,https://doi.org/10.1016/j.phpro.2014.08.120,OpenAlex,,defect; fatigue,True,https://doi.org/10.1016/j.phpro.2014.08.120,,1.00,,verified,,,,pore_fatigue_life,,孔隙/缺陷-疲劳寿命关系,fcgr_paris_law,pore_fatigue_life,,,,,,,,Seed type: pore_fatigue_life; API match: True,high
