research_object,variable_type,variable_name,variable_range,property_or_result,mechanism,evidence,missing_evidence,future_hypothesis,feasibility_level,source_paper
SLM Ti-6Al-4V,microstructure,"acicular α′ martensite, lamellar (α + β), equiaxed (α + β), bimodal lamellar (α + β), equiaxed α",varies with processing parameters,fatigue resistance,Microstructure variation → local stress distribution and crack propagation path → improved fatigue resistance in critical loading directions,"The microstructure of SLM Ti-6Al-4V is highly dependent on processing parameters such as layer thickness, scan strategy, and laser power. Tailoring the microstructure through SLM can lead to improved fatigue resistance in critical loading directions.",No direct quantitative data on how specific microstructures correlate with fatigue life or crack growth rate.,Tailoring the proportion of acicular α′ martensite and lamellar (α + β) microstructure will significantly improve fatigue resistance in HCF/VHCF regimes.,A,A Review of the As-Built SLM Ti-6Al-4V Mechanical Properties towards Achieving Fatigue Resistant Designs
SLM Ti-6Al-4V,surface_state,surface roughness,high,fatigue performance,Surface roughness → stress concentration at surface defects → early crack initiation → reduced fatigue life,Surface roughness has a significant negative impact on fatigue performance.,No detailed quantification of how different levels of surface roughness affect fatigue life or crack initiation sites.,Reducing surface roughness via post-processing will significantly increase fatigue life in HCF/VHCF conditions.,A,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
SLM Ti-6Al-4V,defect,porosity,present in as-built samples,fatigue life,Porosity → stress concentration and crack initiation sites → reduced fatigue life,Defects such as porosity significantly affect fatigue crack initiation.,"No detailed analysis of how pore size, shape, and distribution influence fatigue life.",Reducing porosity through HIP treatment will significantly improve fatigue life in HCF/VHCF regimes.,A,Critical assessment of the fatigue performance of additively manufactured Ti–6Al–4V and perspective for future research
SLM Ti-6Al-4V,defect,keyhole porosity,present in as-built samples,fatigue life,Keyhole porosity → localized stress concentration → crack initiation → reduced fatigue life,Keyhole porosity has a major impact on fatigue life.,No detailed quantification of how keyhole porosity affects fatigue life under different loading conditions.,Quantifying the effect of keyhole porosity on fatigue life using fracture mechanics models would improve predictive capabilities.,A,Effects of Process Parameters and Process Defects on the Flexural Fatigue Life of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
SLM Ti-6Al-4V,heat_treatment,HIP (Hot Isostatic Pressing),920°C/150 MPa/3 h,fatigue life,HIP → elimination of porosity and defects → reduced stress concentration → increased fatigue life,Post-processing treatments like HIP improve fatigue properties significantly.,No comparative data on fatigue life before and after HIP under HCF/VHCF conditions.,Comparative fatigue testing of HIP-treated and non-HIP-treated samples under VHCF conditions would validate its effectiveness.,A,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V
SLM Ti-6Al-4V,microstructure,coarser α′/α lath thickness,increased by heat treatment,fatigue crack growth rate (FCGR),Coarser α′/α lath → reduced slip transfer → slower crack growth → lower FCGR,Coarser α′/α lath thicknesses resulted in slower FCGRs and higher fatigue thresholds.,No detailed study on how lath thickness affects near-threshold behavior.,Investigating the relationship between lath thickness and near-threshold fatigue crack growth would enhance understanding of microstructure-sensitive fatigue behavior.,A,Fatigue crack growth behavior and microstructural mechanisms in Ti-6Al-4V manufactured by laser engineered net shaping
SLM Ti-6Al-4V,stress_ratio,R value (stress ratio),varied,fatigue crack growth behavior,Stress ratio → crack closure effect → change in crack growth rate → altered fatigue life,R值显著影响疲劳裂纹扩展行为。,No detailed quantification of how R values affect crack closure and fatigue life in HCF/VHCF regimes.,Quantifying the effect of R values on crack closure and fatigue life using fracture mechanics models would improve predictive accuracy.,A,"Fatigue crack growth in L-PBF Ti-6Al-4V: Influence of notch orientation, stress ratio, and volumetric defects"
SLM Ti-6Al-4V,defect,unfused particles and lack of fusion zones,present in as-built samples,fatigue life,Unfused particles and lack of fusion → stress concentration → crack initiation → reduced fatigue life,Crack initiation occurs from internal surfaces due to defects.,No detailed analysis of how defect types and sizes influence fatigue life in HCF/VHCF regimes.,Quantifying the effect of unfused particles and lack of fusion on fatigue life using fracture mechanics models would improve predictive capabilities.,A,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
SLM Ti-6Al-4V,microstructure,"columnar grains of prior β-phase, fine lamellar microstructure consisting completely of α-phase and α′-martensite",after HIP and heat treatment,fatigue life,Fine lamellar microstructure → enhanced crack deflection and energy dissipation → improved fatigue life,The fatigue performance of the SLM processed and subsequently hot isostatically pressed condition is superior to its two additively manufactured counterparts and similar to conventionally processed material.,No detailed comparison of microstructure evolution during HIP and its effect on fatigue life.,Analyzing the microstructure evolution during HIP and correlating it with fatigue life would provide deeper insight into microstructure-property relationships.,A,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,manufacturing_process,L-PBF,文献中描述的工艺参数,"monotonic properties, low and HCF properties, fracture behaviour",制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF制备AM Ti-6Al-4V,缺乏L-PBF工艺参数→组织→疲劳性能的完整定量链,优化L-PBF工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,A Review of the As-Built SLM Ti-6Al-4V Mechanical Properties towards Achieving Fatigue Resistant Designs
