rank,variable,target_indicator,evidence_count_score,evidence_quality_score,directness_score,parameter_score,consistency_score,validation_feasibility_score,total_relevance_score,reason
1,surface_roughness,"Nf/S-N, nan",5,4,4,1,3,4,21,证据数量充足(12条)；直接对应当前科研问题；可通过实验验证
2,pore/defect,"Nf/S-N, nan",5,4,4,0,3,4,20,证据数量充足(16条)；直接对应当前科研问题；可通过实验验证
3,microstructure,da/dN-ΔK/FCGR,4,4,0,5,3,2,18,证据数量充足(4条)；涉及5个方程/参数
4,heat_treatment,"Nf/S-N, nan",5,4,0,1,3,3,16,证据数量充足(11条)；可通过实验验证
5,porosity,fatigue life,0,3,2,5,3,2,15,涉及5个方程/参数
6,pore defect,"FCGRs, Fatigue life, ['Fatigue crack initiation sites', 'Crack growth rate']",0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
7,surface roughness,"fatigue performance, 疲劳寿命Nf/疲劳强度",0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
8,surface defects,裂纹起裂受surface defects控制,0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
9,Porosity-type defects,裂纹起裂受Porosity-type defects控制,0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
10,Porosity and lack-of-fusion defects,裂纹起裂受Porosity and lack-of-fusion defects控制,0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
11,Near-surface pores or rough surface areas,裂纹起裂受Near-surface pores or rough surface areas控制,0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
12,surface crack initiation,裂纹起裂受surface crack initiation控制,0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
13,pore-induced crack initiation,裂纹起裂受pore-induced crack initiation控制,0,3,4,0,3,4,14,直接对应当前科研问题；可通过实验验证
14,nan,"Nf/S-N, nan",5,4,0,0,3,2,14,证据数量充足(16条)
15,Post-LENS heat treatment,FCGRs,0,3,2,1,3,3,12,可通过实验验证
16,"800°C heat treatment, Hot isostatic pressing",Fatigue life,0,3,2,1,3,3,12,可通过实验验证
17,surface and internal initiation,裂纹起裂受surface and internal initiation控制,0,3,2,0,3,4,12,可通过实验验证
18,keyhole porosity,fatigue life,0,3,2,0,3,2,10,变量在文献中有所涉及
19,HCF loading,"HCF下的Fatigue life, HCF下的['Fatigue strength', 'Crack growth performance'], HCF下的['S-N curve', 'fatigue strength']",0,3,0,0,3,4,10,可通过实验验证
20,FCGR loading,"FCGR下的FCGRs, FCGR下的['ΔKth', '疲劳寿命Nf'], FCGR下的da/dN",0,3,0,0,3,4,10,可通过实验验证
21,"annealing at 800°C for 2 h, HIP treatment at 920°C/150 MPa/3 h","['fatigue life', 'fatigue crack growth resistance']",0,3,0,1,3,3,10,可通过实验验证
22,Defects such as unfused particles and lack of fusion zones,裂纹起裂受Defects such as unfused particles and lack of fusi控制,0,3,2,0,3,2,10,变量在文献中有所涉及
23,VHCF loading,"VHCF下的Fatigue life, VHCF下的['S-N curve', 'fatigue strength'], VHCF下的fatigue life Nf, tensile strength, ultimate strength, elongation at break",0,3,0,0,3,4,10,可通过实验验证
24,"acicular α′ martensite, lamellar (α + β), equiaxed (α + β), bimodal lamellar (α + β), equiaxed α",fatigue resistance,0,3,0,1,3,2,9,变量在文献中有所涉及
