paper_id,title,authors,year,doi,material,manufacturing_process,heat_treatment,surface_state,defect_type,pore_size,pore_location,porosity,stress_ratio_R,Nf,fatigue_limit,da_dN,Paris_C,Paris_m,Delta_Kth,main_conclusion,paper_type_primary,paper_type_secondary,research_topic,storage_folder,tags,is_review,is_experimental,is_fcgr,is_micro_ct,is_heat_treatment,is_surface_roughness,is_conflict_relevant,classification_reason,classification_confidence,ingested_from
LPBF_0001,A Review of the Fatigue Properties of Additively Manufactured Ti-6Al-4V,Fei Cao; Tiantian Zhang; Matthew A. Ryder; Diana A. Lados,2018,10.1007/s11837-017-2728-5,Ti-6Al-4V,,,,,,,,,,,,,,,,review,,,reviews,review,,,,,,,,,,
LPBF_0002,Additive manufacturing of fatigue resistant materials: Challenges and opportunities,Aref Yadollahi; Nima Shamsaei,2017,10.1016/j.ijfatigue.2017.01.001,Ti-6Al-4V,,,,,,,,,,,,,,,,review,,,reviews,review,,,,,,,,,,
LPBF_0003,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models,Seunghyun Moon; Ruimin Ma; Ross Attardo; Charles Tomonto; Mark Nordin,2021,10.1038/s41598-021-99959-6,Ti-6Al-4V,,,,,,,,,,,,,,,,pore_fatigue_life,ai_materials_fatigue,,pore_fatigue_life,neural network,,,,,,,,,,
LPBF_0004,Effects of Defects in Laser Additive Manufactured Ti-6Al-4V on Fatigue Properties,Eric Wycisk; Andreas Solbach; Shafaqat Siddique; Dirk Herzog; Frank Walther,2014,10.1016/j.phpro.2014.08.120,Ti-6Al-4V,,,,,,,,,,,,,,,,pore_fatigue_life,,,pore_fatigue_life,pore_fatigue_life,,,,,,,,,,
LPBF_0005,Fatigue life prediction for LPBF-fabricated Ti-6Al-4V up to very-high-cycle regime based on continuum damage mechanics incorporating effect of defects,Chao Ling; Yinfeng Jia; Rui Fu; Liang Zheng; Zheng Zhong,2023,10.1016/j.ijfatigue.2023.108131,Ti-6Al-4V,,,,,,,,,,,,,,,,pore_fatigue_life,,,pore_fatigue_life,pore_fatigue_life,,,,,,,,,,
LPBF_0006,Fatigue Performance of Laser Additive Manufactured Ti–6Al–4V in Very High Cycle Fatigue Regime up to 109 Cycles,Eric Wycisk; Shafaqat Siddique; Dirk Herzog; Frank Walther; Claus Emmelmann,2015,10.3389/fmats.2015.00072,Ti-6Al-4V,,,,,,,,,,,,,,,,pore_fatigue_life,,,pore_fatigue_life,pore_fatigue_life,,,,,,,,,,
LPBF_0007,Analysis of defect generation in Ti–6Al–4V parts made using powder bed fusion additive manufacturing processes,Haijun Gong; Khalid Rafi; Hengfeng Gu; Thomas L. Starr; Brent Stucker,2014,10.1016/j.addma.2014.08.002,Ti-6Al-4V,,,,,,,,,,,,,,,,micro_ct_defects,,,micro_ct_defects,micro_ct_defects,,,,,,,,,,
LPBF_0008,Effect of surface roughness on fatigue performance of additive manufactured Ti–6Al–4V,Daniel Greitemeier; C. Dalle Donne; F. Syassen; J. Eufinger; Tobias Melz,2015,10.1179/1743284715y.0000000053,Ti-6Al-4V,,,,,,,,,,,,,,,,surface_roughness,,,surface_roughness,surface_roughness,,,,,,,,,,
LPBF_0009,Fatigue Performance of Additively Manufactured Ti-6Al-4V: Surface Condition vs. Internal Defects,Yangyang Sun; Shenglu Lu; Stefan Gulizia; Chang-Seok Oh; Darren Fraser,2020,10.1007/s11837-020-04025-7,Ti-6Al-4V,,,,,,,,,,,,,,,,surface_roughness,,,surface_roughness,surface_roughness,,,,,,,,,,
LPBF_0010,Surface Treatment of Powder-Bed Fusion Additive Manufactured Metals for Improved Fatigue Life,David B. Witkin; Dhruv N. Patel; Henry Helvajian; Lee Steffeney; Agustín Díaz,2018,10.1007/s11665-018-3732-9,Ti-6Al-4V,,,,,,,,,,,,,,,,surface_roughness,,,surface_roughness,surface_roughness,,,,,,,,,,
